
(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.663: Failed to load plugin '/opt/nvidia/deepstream/deepstream-9.0/lib/gst-plugins/libnvdsgst_inferserver.so': libtritonserver.so: cannot open shared object file: No such file or directory

(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.664: Failed to load plugin '/opt/nvidia/deepstream/deepstream-9.0/lib/gst-plugins/libnvdsgst_udp.so': librivermax.so.1: cannot open shared object file: No such file or directory

(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.701: Failed to load plugin '/usr/lib/x86_64-linux-gnu/gstreamer-1.0/deepstream/libnvdsgst_inferserver.so': libtritonserver.so: cannot open shared object file: No such file or directory

(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.701: Failed to load plugin '/usr/lib/x86_64-linux-gnu/gstreamer-1.0/deepstream/libnvdsgst_udp.so': librivermax.so.1: cannot open shared object file: No such file or directory
QStandardPaths: XDG_RUNTIME_DIR not set, defaulting to '/tmp/runtime-root'
GL_VERSION       : 4.6.0 NVIDIA 580.126.09
GL_RENDERER      : NVIDIA GeForce RTX 5090 D/PCIe/SSE2
Qt profile/ver   : Compatibility 4.6
Starting RTSP pipeline: uri=rtsp://127.0.0.1:8554/p02cam latency=0ms dropOnLatency=true reconnectInterval=5s reconnectAttempts=0 rtp=tcp stallTimeout=2000ms
Protocol set: 0x4
Linked nvurisrcbin src pad to nvvideoconvert sink pad.
First NvBufSurface: numFilled=1 memType=2 colorFormat=19 layout=0 size=3840x2160 pitch=15360 dataPtr=0x719d22000000
Registered GL texture with CUDA: 3840x2160
fps=1 ingest-to-paint avg=3.0 ms max=3 ms | tex=3840x2160 | uptime=00:00:02 state=STALL last-frame-age=--ms reconnects=0 stalls=0 frames=0
stream LIVE — frame just arrived (age=37 ms, total reconnects=0, frames=4)
fps=17 ingest-to-paint avg=2.5 ms max=35 ms | tex=3840x2160 | uptime=00:00:03 state=LIVE last-frame-age=45ms reconnects=0 stalls=0 frames=13
fps=16 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:00:04 state=LIVE last-frame-age=33ms reconnects=0 stalls=0 frames=34
fps=16 ingest-to-paint avg=0.5 ms max=2 ms | tex=3840x2160 | uptime=00:00:06 state=LIVE last-frame-age=75ms reconnects=0 stalls=0 frames=50
fps=17 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:00:07 state=LIVE last-frame-age=0ms reconnects=0 stalls=0 frames=66
fps=15 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:00:08 state=LIVE last-frame-age=9ms reconnects=0 stalls=0 frames=81
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:00:09 state=LIVE last-frame-age=7ms reconnects=0 stalls=0 frames=96
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:00:10 state=LIVE last-frame-age=9ms reconnects=0 stalls=0 frames=111
fps=15 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:00:11 state=LIVE last-frame-age=7ms reconnects=0 stalls=0 frames=126
fps=15 ingest-to-paint avg=0.7 ms max=2 ms | tex=3840x2160 | uptime=00:00:12 state=LIVE last-frame-age=4ms reconnects=0 stalls=0 frames=141
fps=16 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:00:13 state=LIVE last-frame-age=7ms reconnects=0 stalls=0 frames=156
